policy,family,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
public_state_rules,distractor_evidence_then_verify,6,1.0,1.0,0.0,330.0,330.0,3.5,1.5,2.5,0.043502534477738664,0.00015545832381273308,0.003555540905597425,0.0,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12082.666666666666,330.0,0.6875,0.04350324999541044,0.04805066648987122,0.0001689799828454852,0.0002044995198957622,0.0,0.0
public_state_rules,parallel_evidence_then_combine,6,1.0,1.0,0.0,291.5,291.5,3.5,2.0,3.0,0.04296624298634318,0.0001727086491882801,0.004015903644315428,0.0,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9457.666666666666,291.5,0.78125,0.04245020798407495,0.046627510237158276,0.0001764379849191755,0.00020805172971449792,0.0,0.0
public_state_rules,research_then_verify,6,1.0,1.0,0.0,186.5,186.5,2.5,1.5,2.5,0.042309187488475196,0.0001336043351329863,0.003128368225999642,0.0,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6766.166666666667,186.5,0.78125,0.041493041993817315,0.04646491672610864,0.0001267709885723889,0.00019427122606430203,0.0,0.0
public_state_rules,retrieve_code_then_verify,6,1.0,1.0,0.0,170.5,170.5,2.5,1.5,2.5,0.05225420152419247,0.00012268049370807907,0.0026261043580901315,0.0,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5471.166666666667,170.5,0.78125,0.04219139652559534,0.08727133301727008,0.000127979030366987,0.0001556877396069467,0.0,0.0
public_state_rules,retrieve_then_calculate,6,1.0,1.0,0.0,169.0,169.0,2.5,1.0,2.0,0.05082115299107196,0.0001086458214558661,0.0022056549845140085,0.0,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5380.0,169.0,0.6875,0.04620024998439476,0.06996283325133845,0.00010339647997170687,0.00014058298256713897,0.0,0.0
public_state_rules,tool_failure_then_recover,6,1.0,1.0,0.0,265.5,265.5,2.5,2.0,3.0,0.05026919465550842,0.00017052784096449614,0.0035245427217094065,0.0,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9013.666666666666,265.5,0.84375,0.04581333298119716,0.06781414624128956,0.00015747855650261045,0.00022064580116420984,0.0,0.0
random_top_k,distractor_evidence_then_verify,6,0.16666666666666666,0.16666666666666666,0.0,1460.5,1460.5,8.0,3.0,4.0,0.04321938884095289,0.00020322216247829297,0.004699638025129908,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,32249.833333333332,1460.5,0.6666666666666669,0.043001625017495826,0.04521899999235757,0.0002059169637504965,0.00021673952869605273,0.0,0.0
random_top_k,parallel_evidence_then_combine,6,0.0,0.0,0.0,1478.5,1478.5,8.0,3.0,4.0,0.049896513985004276,0.00020987480335558453,0.0044620723781713615,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,32028.333333333332,1478.5,0.6666666666666669,0.04393477097619325,0.07301619775535073,0.00021183351054787636,0.0002210729435319081,0.0,0.0
random_top_k,research_then_verify,6,0.16666666666666666,0.16666666666666666,0.0,1437.6666666666667,1437.6666666666667,8.0,3.0,4.0,0.04773159032144273,0.000224917137529701,0.004984126606584343,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,29951.5,1437.6666666666667,0.6666666666666669,0.041805979009950534,0.06852913572220132,0.00019474996952340007,0.0003491571842459962,0.0,0.0
random_top_k,retrieve_code_then_verify,6,0.16666666666666666,0.16666666666666666,0.0,1437.5,1437.5,8.0,3.0,4.0,0.041167951499422394,0.0001842151687014848,0.0044741964161649885,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,28367.666666666668,1437.5,0.6666666666666669,0.041105000011157244,0.04152456275187433,0.00018287499551661313,0.0001931455044541508,0.0,0.0
random_top_k,retrieve_then_calculate,6,0.5,0.5,0.0,1507.5,1507.5,8.0,3.0,4.0,0.04172944433715505,0.00020377782251064977,0.004878119821981591,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,32576.0,1507.5,0.6666666666666669,0.04128281251178123,0.04312900023069233,0.0002043754793703556,0.00022753045777790248,0.0,0.0
random_top_k,tool_failure_then_recover,6,0.0,0.0,0.0,1469.0,1469.0,8.0,3.0,4.0,0.04215553466929123,0.00019770145687895516,0.004686737152796479,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,29463.333333333332,1469.0,0.6666666666666669,0.04181872901972383,0.04384965627104975,0.000194832420675084,0.00021440646378323436,0.0,0.0
small_mlp_router,distractor_evidence_then_verify,6,1.0,1.0,3052.0,330.0,3382.0,3.5,1.5,2.5,0.07621956232469529,0.02395401380878563,0.3151025116625528,0.8997514666880977,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12090.333333333334,330.0,0.6875,0.06752220800262876,0.12032199946406763,0.02377985347993672,0.034110406195395626,0.0,0.0
small_mlp_router,parallel_evidence_then_combine,6,1.0,1.0,2978.0,291.5,3269.5,3.5,2.0,3.0,0.06531368766445667,0.02183977817185223,0.3327555492219065,0.9127721083929187,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9480.166666666666,291.5,0.78125,0.0659000005107373,0.07101672948920168,0.02193981353775598,0.025761937984498218,0.0,0.0
small_mlp_router,research_then_verify,6,1.0,1.0,2424.0,186.5,2610.5,2.5,1.5,2.5,0.059139645852458976,0.018001200980506837,0.2953497378184012,0.9290908173337643,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6773.333333333333,186.5,0.78125,0.05871285402099602,0.06794771828572266,0.01771310396725312,0.024900342774344608,0.0,0.0
small_mlp_router,retrieve_code_then_verify,6,1.0,1.0,1921.0,170.5,2091.5,2.5,1.5,2.5,0.05527809732787622,0.013469632152312746,0.2348978119879397,0.9179374103609438,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5477.333333333333,170.5,0.78125,0.05624585447367281,0.06291613550274633,0.013398228969890624,0.019560906977858394,0.0,0.0
small_mlp_router,retrieve_then_calculate,6,1.0,1.0,1421.0,169.0,1590.0,2.5,1.0,2.0,0.05118858316564001,0.009826166671700776,0.19091310296322464,0.8971554528714524,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5379.166666666667,169.0,0.6875,0.05089908349327743,0.054891093517653644,0.009988375008106232,0.011712291743606329,0.0,0.0
small_mlp_router,tool_failure_then_recover,6,1.0,1.0,2982.0,265.5,3247.5,2.5,2.0,3.0,0.07050906967682143,0.02108274251804687,0.3110271944707749,0.9205114341091968,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9033.166666666666,265.5,0.84375,0.06513614600407891,0.09722560453519691,0.021072957024443895,0.023674061754718423,0.0,0.0
sparse_linear_router,distractor_evidence_then_verify,6,1.0,1.0,3052.0,330.0,3382.0,3.5,1.5,2.5,0.07000561782236521,0.02532125698053278,0.3497496564245339,0.8997514666880977,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12091.333333333334,330.0,0.6875,0.06860024997149594,0.08414822923077736,0.02396870794473216,0.03809668749454431,0.0,0.0
sparse_linear_router,parallel_evidence_then_combine,6,1.0,1.0,2978.0,291.5,3269.5,3.5,2.0,3.0,0.0652839998268367,0.021369555509105947,0.32684063501073884,0.9127721083929187,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9479.166666666666,291.5,0.78125,0.06505460396874696,0.0691822707594838,0.02131497851223685,0.02394596925296355,0.0,0.0
sparse_linear_router,research_then_verify,6,1.0,1.0,2424.0,186.5,2610.5,2.5,1.5,2.5,0.061294888835012294,0.018410270829917863,0.29294905030360036,0.9290908173337643,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6773.666666666667,186.5,0.78125,0.060798583494033664,0.06837371822621208,0.018257104005897418,0.025231145467841998,0.0,0.0
sparse_linear_router,retrieve_code_then_verify,6,1.0,1.0,1921.0,170.5,2091.5,2.5,1.5,2.5,0.06465029166429304,0.013639284685874978,0.21196656786265475,0.9179374103609438,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5477.5,170.5,0.78125,0.05727610399480909,0.10069152126379777,0.013542416534619406,0.019702010016771965,0.0,0.0
sparse_linear_router,retrieve_then_calculate,6,1.0,1.0,1421.0,169.0,1590.0,2.5,1.0,2.0,0.0613991180046772,0.010606020999451479,0.1830558087970444,0.8971554528714524,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5380.0,169.0,0.6875,0.054215999494772404,0.09066935423470568,0.010978145990520716,0.011797457482316531,0.0,0.0
sparse_linear_router,tool_failure_then_recover,6,1.0,1.0,2982.0,265.5,3247.5,2.5,2.0,3.0,0.06612022901147914,0.021879625176855672,0.33067055621558133,0.9205114341091968,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9032.0,265.5,0.84375,0.06451268750242889,0.07370923903363291,0.0211536665156018,0.024967969249701127,0.0,0.0
