policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,36,0.25,0.25,0.0,2210.0,2210.0,12.0,2.0,2.0,0.045300217636395246,8.54374488375874e-05,0.0019278927196837838,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567901,24.0,28.0,45167.88888888889,2210.0,0.25,0.043320188007783145,0.05804181250277907,8.487552986480296e-05,9.558245074003935e-05,0.0,0.0
iterative_all_agent_sequential,36,0.75,0.75,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.04724543291538592,9.796762282753157e-05,0.0020900311338868938,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148145,0.18518518518518523,24.0,62.0,106635.47222222222,4047.1666666666665,0.25,0.04557210401981138,0.058548687971779145,8.891703328117728e-05,0.00011517702660057694,0.0,0.0
public_state_rules,36,1.0,1.0,0.0,235.5,235.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.04702041902055498,0.00014393757737707347,0.0031760191400376737,0.0,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8028.555555555556,235.5,0.7604166666666666,0.04326139597105794,0.0741500209987862,0.0001512504240963608,0.00021026002650614828,0.0,0.0
random_top_k,36,0.16666666666666666,0.16666666666666666,0.0,1465.111111111111,1465.111111111111,8.0,3.0,4.0,0.04431673727554476,0.0002039514252424447,0.004697481733471445,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,30772.777777777777,1465.111111111111,0.6666666666666669,0.041872583504300565,0.05336523972800933,0.00019666645675897598,0.00022434369020629674,0.0,0.0
small_mlp_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.06294144100199144,0.018028922383867513,0.2800076513541333,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8038.916666666667,235.5,0.7604166666666666,0.059652916505001485,0.08669063550769351,0.018614583474118263,0.032007592963054776,0.0,0.0
sparse_linear_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.06479235752744393,0.018537669030289788,0.2825387124356922,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8038.944444444444,235.5,0.7604166666666666,0.0625645624822937,0.08931156272592489,0.019241666508605704,0.0316364372120006,0.0,0.0
