policy,template_family,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,addition_reverse_digits,unseen_composition,8,0.0,0.0,0.0,298.0,298.0,8.0,1.0,2.0,0.012355140497675166,5.481787957251072e-05,0.005328263855755343,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2959.0,298.0,0.0,0.00912343748495914,0.026001899980474252,5.1499984692782164e-05,6.35978183709085e-05,0.0,0.0
all_agent,arithmetic_addition,seen_family,8,1.0,1.0,0.0,242.0,242.0,8.0,1.0,2.0,0.009424437761481386,6.430199573514983e-05,0.006674703402632998,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2518.0,242.0,0.0,0.009209250536514446,0.010790277298656292,5.47289673704654e-05,0.00010595055355224755,0.0,0.0
all_agent,count_vowels,seen_family,8,1.0,1.0,0.0,274.0,274.0,8.0,1.0,2.0,0.009088828126550652,5.565114406635985e-05,0.0061076136098284235,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2741.0,274.0,0.0,0.008917833503801376,0.00979720227769576,5.125001189298928e-05,6.524036289192736e-05,0.0,0.0
all_agent,inline_lookup,seen_family,8,1.0,1.0,0.0,301.0,301.0,8.0,1.0,2.0,0.009476312494371086,5.678124580299482e-05,0.005978845470460232,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3087.0,301.0,0.0,0.009299395984271541,0.010672720498405397,5.512448842637241e-05,6.692105380352586e-05,0.0,0.0
all_agent,lookup_multiply,unseen_composition,8,0.0,0.0,0.0,341.0,341.0,8.0,1.0,2.0,0.009155775886029005,5.728124233428389e-05,0.006251139218039247,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,3403.0,341.0,0.0,0.008922229026211426,0.009920368765597232,5.629149382002652e-05,6.42963103018701e-05,0.0,0.0
all_agent,reverse_string,seen_family,8,1.0,1.0,0.0,262.0,262.0,8.0,1.0,2.0,0.012280703114811331,5.7229248341172934e-05,0.0055945219863648005,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2708.0,262.0,0.0,0.00911968748550862,0.025656196050113052,5.5895972764119506e-05,6.612960423808545e-05,0.0,0.0
base_moe,addition_reverse_digits,unseen_composition,8,0.0,0.0,348.375,299.5,647.875,3.25,3.0,3.0,2.7660536408802727,2.7465295053916634,0.9914352851549562,0.5423608530531877,,0.0,0.0,0.0,7.0,2.75,0.033950617283950615,0.9660493827160495,6.5,0.5,3650.0,299.5,0.8645833333333334,1.9651127294928301,6.1169699170975935,1.944136521051405,6.088752931321505,0.0,0.0
base_moe,arithmetic_addition,seen_family,8,1.0,1.0,336.25,242.0,578.25,3.0,3.0,3.0,1.9758753906353377,1.9588790672496543,0.9906251619103648,0.5814956583059924,,0.0,0.0,0.0,6.0,2.0,0.024691358024691357,0.9753086419753086,6.0,0.0,3034.75,242.0,0.875,1.7547059585049283,3.8438022291637015,1.7393450410163496,3.8183560435485546,0.0,0.0
base_moe,count_vowels,seen_family,8,1.0,1.0,338.625,294.5,633.125,3.5,3.0,3.0,3.349937213373778,3.325609952371451,0.9916811117296344,0.5370484220491496,,0.0,0.0,0.0,9.5,5.5,0.06790123456790123,0.9320987654320987,7.0,2.5,3449.25,294.5,0.8541666666666667,2.8895486459950916,5.639219260317622,2.8627536245039664,5.611409885028842,0.0,0.0
base_moe,inline_lookup,seen_family,8,0.0,0.0,355.0,312.25,667.25,3.25,3.0,3.0,2.902302421745844,2.8610101352605852,0.9827937892162278,0.5365471605843878,,0.0,0.0,0.0,7.0,2.75,0.033950617283950615,0.9660493827160495,6.5,0.5,3753.625,312.25,0.8645833333333334,2.328233812469989,6.669428695409439,2.248272478551371,6.640542563071355,0.0,0.0
