policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,code,eval,seen_family,16,1.0,1.0,208.25,32.0,240.25,1.0,1.0,2.0,0.8575315416310332,0.8472554348772974,0.9864681511008577,0.8667500468337725,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,0.62541031249566,1.7097433435119456,0.6155522294866387,1.6928951460286044,0.0,0.0
conductor_sft,composed_math_string,eval,unseen_composition,8,0.0,0.0,230.75,34.0,264.75,1.0,1.0,2.0,0.8202295105002122,0.8097960466548102,0.9855697776076242,0.8715752449305081,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,349.375,34.0,0.875,0.6369493335078005,1.5906671896867914,0.6271601045154966,1.5780473561928368,0.0,0.0
conductor_sft,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,1.1522437553867348,1.142019057253492,0.9873960323913485,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,0.699688270513434,3.072513656684894,0.689115999994101,3.0604997108428487,0.0,0.0
conductor_sft,math,eval,seen_family,8,1.0,1.0,206.5,27.0,233.5,1.0,1.0,2.0,1.4089918385143392,1.3895187026209896,0.9858556775671452,0.8843667245000457,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.6899259165220428,3.2972613375110083,0.6805211864702869,3.2366448103362924,0.0,0.0
conductor_sft,retrieval,eval,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,1.360062021005433,1.3481004170025699,0.9884021981914206,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.816944833000889,3.701329285639802,0.8073129379772581,3.6810275644937045,0.0,0.0
random_top_k,code,eval,seen_family,16,1.0,1.0,0.0,670.125,670.125,6.0,3.0,3.0,0.00984858068113681,6.146613304736093e-05,0.006637419228466886,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7352.1875,670.125,0.75,0.00879122901824303,0.013069552471279167,5.9999467339366674e-05,6.869828212074935e-05,0.0,0.0
random_top_k,composed_math_string,eval,unseen_composition,8,0.375,0.375,0.0,662.875,662.875,6.0,3.0,3.0,0.008893369740690105,6.134361319709569e-05,0.006896592961411566,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7255.875,662.875,0.75,0.00881791696883738,0.009319837478687986,6.079251761548221e-05,6.544385105371475e-05,0.0,0.0
random_top_k,composed_retrieval_math,eval,unseen_composition,8,0.5,0.5,0.0,714.625,714.625,6.0,3.0,3.0,0.008864005387295038,6.12761068623513e-05,0.006912609946129659,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7819.0,714.625,0.75,0.008847437507938594,0.009013327769935131,6.13329466432333e-05,6.416552350856364e-05,0.0,0.0
random_top_k,math,eval,seen_family,8,1.0,1.0,0.0,645.75,645.75,6.0,3.0,3.0,0.008982135521364398,6.62396487314254e-05,0.00734232113051027,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7217.375,645.75,0.75,0.008843146002618596,0.00953216252673883,6.120750913396478e-05,8.922511478886006e-05,0.0,0.0
random_top_k,retrieval,eval,seen_family,8,1.0,1.0,0.0,666.875,666.875,6.0,3.0,3.0,0.008814864479063544,6.0635124100372195e-05,0.006878187902745102,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7337.125,666.875,0.75,0.008800166484434158,0.00889554996683728,5.972853978164494e-05,6.380391423590481e-05,0.0,0.0
rule_based,code,eval,seen_family,16,1.0,1.0,0.0,32.0,32.0,1.0,1.0,2.0,0.008757505249377573,2.7020756533602253e-05,0.003073371173157347,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,0.0085897289973218,0.009403146264958195,2.5978515623137355e-05,3.246875712648034e-05,0.0,0.0
rule_based,composed_math_string,eval,unseen_composition,8,1.0,1.0,0.0,92.0,92.0,2.0,1.0,2.0,0.008703609360964037,2.9703121981583536e-05,0.003401907790491778,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,998.875,92.0,0.75,0.008467229519737884,0.009525979124009609,2.8436974389478564e-05,3.556928422767669e-05,0.0,0.0
rule_based,composed_retrieval_math,eval,unseen_composition,8,1.0,1.0,0.0,104.0,104.0,2.0,1.0,2.0,0.011001760612998623,3.146900417050347e-05,0.0032432427576735232,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,1132.25,104.0,0.75,0.008686875487910584,0.02058517904370091,3.1750008929520845e-05,3.5645414027385416e-05,0.0,0.0
rule_based,math,eval,seen_family,8,1.0,1.0,0.0,27.0,27.0,1.0,1.0,2.0,0.008720744866877794,2.6520756364334375e-05,0.0030348791367422606,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.008648416463984177,0.009289920952869579,2.5478977477177978e-05,3.167861432302743e-05,0.0,0.0
rule_based,retrieval,eval,seen_family,8,1.0,1.0,0.0,35.0,35.0,1.0,1.0,2.0,0.008774104251642711,2.718724135775119e-05,0.00309176380224284,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.008803770499071106,0.0092930316895945,2.637496800161898e-05,3.4255813807249064e-05,0.0,0.0
