policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,48,0.6666666666666666,0.6666666666666666,0.0,286.3333333333333,286.3333333333333,8.0,1.0,2.0,0.010296866313486438,5.7677125975412004e-05,0.0059891812571801735,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2902.6666666666665,286.3333333333333,0.0,0.009107332996791229,0.011246968843624926,5.506246816366911e-05,6.678586942143738e-05,0.0,0.0
base_moe,48,0.5625,0.5625,344.7916666666667,370.8958333333333,715.6875,3.7916666666666665,3.0,3.0,2.9861908515182827,2.9612542237943367,0.9902263087456827,0.4994131342287413,,0.0,0.0,0.0,10.458333333333334,5.958333333333333,0.073559670781893,0.9264403292181069,7.583333333333333,2.875,4347.770833333333,370.8958333333333,0.8420138888888888,2.329589249973651,6.602267331801703,2.275806291552726,6.578944322871393,0.0,0.0
conductor_preference,48,0.6666666666666666,0.6666666666666666,231.45833333333334,33.333333333333336,264.7916666666667,1.0,1.0,2.0,1.1590464487708232,1.1452570806626075,0.9831593193944332,0.8739634465889522,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,346.2291666666667,33.333333333333336,0.875,0.6846802914806176,3.663031510735162,0.6667232494801283,3.642292868869843,0.0,0.0
conductor_sft,48,0.6666666666666666,0.6666666666666666,231.45833333333334,33.333333333333336,264.7916666666667,1.0,1.0,2.0,1.0760983681114642,1.063990848881076,0.9866933313265424,0.8739634465889522,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,346.2291666666667,33.333333333333336,0.875,0.6978068955068011,3.2972613375110074,0.6868942919827532,3.2366448103362915,0.0,0.0
random_top_k,48,0.8125,0.8125,0.0,671.7291666666666,671.7291666666666,6.0,3.0,3.0,0.009208589415114451,6.207112649766107e-05,0.006884091732955062,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7388.958333333333,671.7291666666666,0.75,0.008802728989394382,0.009475368741550482,6.0582999140024185e-05,6.671298760920762e-05,0.0,0.0
rule_based,48,1.0,1.0,0.0,53.666666666666664,53.666666666666664,1.3333333333333333,1.0,2.0,0.009119204931873051,2.8153606156896178e-05,0.003153089305577516,0.0,,0.0,0.0,0.0,3.0,3.0,0.037037037037037035,0.9629629629629629,2.6666666666666665,0.3333333333333333,575.1875,53.666666666666664,0.8333333333333334,0.008568624965846539,0.009486211920739151,2.7854519430547953e-05,3.571855195332319e-05,0.0,0.0
