policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
frozen_catalog_head,36,1.0,1.0,783.8888888888889,235.5,1019.3888888888889,2.8333333333333335,1.5833333333333333,2.5833333333333335,2.955483914359421,2.902383459576716,0.9762944023245915,0.7753016283546852,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8040.5,235.5,0.7604166666666666,2.4318486455013044,7.66885766624182,2.357194396026898,7.591855021222727,0.0,0.0
frozen_factorized_head,36,0.6944444444444444,0.6944444444444444,847.8888888888889,244.97222222222223,1092.861111111111,2.888888888888889,1.75,2.75,7.031859000059841,6.941141714047666,0.9747215315513641,0.780846871946404,,0.0,0.0,0.0,8.5,8.5,0.10493827160493825,0.8950617283950617,5.777777777777778,2.7222222222222223,8155.722222222223,244.97222222222223,0.7829861111111112,4.913174416491529,9.324684958526632,4.854284332977841,9.265263906781911,0.0,0.0
public_state_rules,36,1.0,1.0,0.0,235.5,235.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.0837477338338633,0.00017329862910426326,0.003985011234470846,0.0,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8028.5,235.5,0.7604166666666666,0.04148293752223253,0.05634484322217759,0.00018135446589440107,0.00025122950319200754,0.0,0.0
