policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,2,15,1.0,1.0,709.6,176.0,885.6,2.4,1.4,2.4,1.2839914279407822,1.2373160250640163,0.960869695494567,0.8127622414866468,,0.0,0.0,0.0,6.6,6.6,0.0814814814814815,0.9185185185185187,4.8,1.8,5756.133333333333,176.0,0.775,1.0296865419950336,1.679959474998759,0.9788982910104096,1.6352823258086573,0.0,0.0
conductor_sft,3,18,1.0,1.0,816.0555555555555,283.0,1099.0555555555557,3.1666666666666665,1.6666666666666667,2.6666666666666665,1.386253731551632,1.3444797640064887,0.9683126769687918,0.7394932533844172,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9688.0,283.0,0.7395833333333334,1.5790555624698754,1.6036711499240481,1.5366458954813424,1.5615153339545942,0.0,0.0
conductor_sft,4,3,1.0,1.0,962.3333333333334,427.0,1389.3333333333333,4.0,2.0,3.0,1.6362249859957956,1.5751382640058484,0.9627730818449333,0.6926536353288509,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15932.666666666666,427.0,0.75,1.6333701669937,1.6501055536034983,1.581954958033748,1.588481421378674,0.0,0.0
frozen_selected_head,2,15,1.0,1.0,709.6,140.2,849.8,2.2,1.4,2.4,1.222125888922407,1.1778213612036779,0.9612228517347267,0.834801276924174,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4484.866666666667,140.2,0.7875,0.9938935420359485,1.6004930875729768,0.9530867920257151,1.5596128914214205,0.0,0.0
frozen_selected_head,3,18,1.0,1.0,816.0555555555555,283.0,1099.0555555555557,3.1666666666666665,1.6666666666666667,2.6666666666666665,1.388157532382239,1.3440841224768922,0.9669515594247403,0.7394932533844172,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9687.833333333334,283.0,0.7395833333333334,1.5598593334725592,1.6586247857485432,1.5188662499713246,1.5761885411455294,0.0,0.0
frozen_selected_head,4,3,1.0,1.0,962.3333333333334,427.0,1389.3333333333333,4.0,2.0,3.0,1.6177174723319088,1.5751812086285402,0.9737076621989553,0.6926536353288509,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15928.666666666666,427.0,0.75,1.6033651669858955,1.661529166402761,1.5611779179889709,1.617707329255063,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.04568904732974867,0.00013805273920297623,0.0032213990186545543,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.333333333333,140.2,0.7875,0.04058179195271805,0.06452508368529374,0.00011550000635907054,0.0001933000166900456,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.04375020610880003,0.0001738842208093653,0.004044366794172201,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.222222222223,283.0,0.7395833333333334,0.04068274999735877,0.05008304017828771,0.00019366649212315679,0.0002198053611209616,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.04163501400034875,0.0002484169672243297,0.0059667611241469515,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15914.0,427.0,0.75,0.04090416699182242,0.042936066415859384,0.00024625094374641776,0.00025588725111447275,0.0,0.0
