policy,family,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,1.3221729096549097,1.2707395625281304,0.9606647610341694,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12092.5,330.0,0.6875,1.3188445209816564,1.6473163225018652,1.26378102102899,1.587393677487853,0.0,0.0
conductor_sft,parallel_evidence_then_combine,6,1.0,1.0,958.5,381.0,1339.5,4.0,2.0,3.0,1.6077793613367248,1.5659906739989917,0.9740081842432847,0.7155640959979652,,0.0,0.0,0.0,13.0,13.0,0.16049382716049385,0.8395061728395062,8.0,5.0,12659.0,381.0,0.75,1.599239375005709,1.6381121667654952,1.5578448124870192,1.5960273132659495,0.0,0.0
conductor_sft,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,1.302248291845899,1.2609408751595765,0.9666406689322901,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6775.5,186.5,0.78125,1.3038710835098755,1.5999406562768854,1.2628181664913427,1.5580688547488535,0.0,0.0
conductor_sft,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,1.2803642015011671,1.2271769240129895,0.9544190466357872,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5479.333333333333,170.5,0.78125,1.2947882919979747,1.60279070775141,1.2189521045074798,1.5605656775442185,0.0,0.0
conductor_sft,retrieve_then_calculate,6,1.0,1.0,540.0,169.0,709.0,2.5,1.0,2.0,1.095121798668212,1.0519545553349114,0.9591521740122478,0.76717096434747,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5381.166666666667,169.0,0.6875,0.9588534579961561,1.5723478959844215,0.9181591249944177,1.5226901667629136,0.0,0.0
conductor_sft,tool_failure_then_recover,6,1.0,1.0,937.0,265.5,1202.5,2.5,2.0,3.0,1.579165694497836,1.537495895647832,0.9736139757074791,0.7841795138508588,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9033.166666666666,265.5,0.84375,1.5801547920273151,1.5875570729986066,1.5390795414859895,1.545141458249418,0.0,0.0
frozen_selected_head,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,1.311657437501708,1.2693690347950906,0.9659520251220083,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12090.333333333334,330.0,0.6875,1.2962955000111833,1.65183516649995,1.2537964369403198,1.6082857607107144,0.0,0.0
frozen_selected_head,parallel_evidence_then_combine,6,1.0,1.0,958.5,291.5,1250.0,3.5,2.0,3.0,1.5969822639793467,1.555443624810626,0.9739864210247742,0.7706616845917832,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9481.0,291.5,0.78125,1.5951275209954474,1.618962822976755,1.553560166474199,1.5777741774945753,0.0,0.0
frozen_selected_head,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,1.2993261733208783,1.2502344578291134,0.961717953409046,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6774.166666666667,186.5,0.78125,1.2854840204818174,1.6375566667556996,1.2445109995314851,1.5600298534409376,0.0,0.0
frozen_selected_head,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,1.255033791656994,1.214028874839035,0.9654040105496159,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5479.166666666667,170.5,0.78125,1.2542252914863639,1.5572156249982072,1.2132916665577795,1.5162208224646747,0.0,0.0
