baseline,candidate,paired_tasks,baseline_only_tasks,candidate_only_tasks,status,mean_delta_task_success,success_delta_ci95,success_ratio_ci95,mean_delta_grader_score,mean_delta_total_tokens,token_delta_ci95,token_ratio_ci95,mean_delta_agent_calls,agent_calls_delta_ci95,agent_calls_ratio_ci95,mean_delta_cost_usd,cost_delta_ci95,cost_ratio_ci95,mean_delta_wall_clock_seconds,latency_delta_ci95,latency_ratio_ci95,fingerprints,comparable_fingerprints,unknown_cost_exclusions,bootstrap,claim_gate
k1_interval1,k2_interval1,5,0,0,measured,0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",-0.19532265000743793,"[-0.42336200859863315, -0.027416883432306305]","[0.5957360760159586, 0.9550960648375302]","{'data_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'specialist_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'experiment_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'config_sha256': {'baseline': ['None'], 'candidate': ['None']}}",False,5,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Corpus, specialist, and experiment fingerprints are missing or inconsistent', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
k1_interval1,k3_interval1,5,0,0,measured,0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",0.0,"[0.0, 0.0]","[1.0, 1.0]",-0.09953433299669996,"[-0.4533981374345602, 0.2095259672030807]","[0.5597593905982794, 1.3374031321999407]","{'data_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'specialist_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'experiment_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'checkpoint_sha256': {'baseline': ['None'], 'candidate': ['None']}, 'config_sha256': {'baseline': ['None'], 'candidate': ['None']}}",False,5,"{'unit': 'unique_task_id', 'samples': 2000, 'seed': 42}","{'status': 'insufficient_evidence', 'reasons': ['Fewer than 30 independent paired task IDs', 'Corpus, specialist, and experiment fingerprints are missing or inconsistent', 'Cost reduction is not established by the upper confidence bound', 'Unknown/proxy/heterogeneous token billing invalidates this cost comparison'], 'cost_metric': 'cost_usd', 'minimum_paired_tasks': 30, 'quality_noninferiority_margin': 0.0, 'interpretation': 'Eligibility supports only this predefined measured comparison, not a broader improvement claim.'}"
