policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
frozen_catalog_head,2,15,1.0,1.0,709.6,140.2,849.8,2.2,1.4,2.4,1.505046422263452,1.4526510085406092,0.9628059456273347,0.834801276924174,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4484.6,140.2,0.7875,1.0948516670032404,2.2863781873602416,1.0477838329970837,2.2364365757966875,0.0,0.0
frozen_catalog_head,3,18,1.0,1.0,816.0555555555555,283.0,1099.0555555555557,3.1666666666666665,1.6666666666666667,2.6666666666666665,1.5950967893327794,1.5483902083134227,0.9689592104916012,0.7394932533844172,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9688.833333333334,283.0,0.7395833333333334,1.6387284999946132,2.142068883054889,1.5965065824857447,2.0965860437630903,0.0,0.0
frozen_catalog_head,4,3,1.0,1.0,962.3333333333334,427.0,1389.3333333333333,4.0,2.0,3.0,1.8994049026902455,1.7658391946849104,0.9349961877137843,0.6926536353288509,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15932.666666666666,427.0,0.75,1.9317761670099571,2.129316303925589,1.8366241240291856,1.8821088505268562,0.0,0.0
frozen_factorized_head,2,15,0.9333333333333333,0.9333333333333333,735.2,232.13333333333333,967.3333333333334,2.7333333333333334,1.4666666666666666,2.466666666666667,1.4773864528164267,1.4304366305276441,0.9634261790388374,0.7796811370520368,,0.0,0.0,0.0,7.866666666666666,7.666666666666667,0.0946502057613169,0.9053497942386832,5.466666666666667,2.4,7554.0,232.13333333333333,0.7625,1.5492032089969143,2.3654445125372123,1.5083563330117613,2.3161608713562574,0.0,0.0
frozen_factorized_head,3,18,0.7222222222222222,0.7222222222222222,1157.388888888889,555.7777777777778,1713.1666666666667,3.9444444444444446,2.7222222222222223,3.5555555555555554,1.9481120114376407,1.8935519860468857,0.9730668582159373,0.721021416799954,,0.0,0.0,0.0,12.5,9.5,0.11728395061728393,0.8827160493827161,7.888888888888889,4.611111111111111,13383.277777777777,555.7777777777778,0.8067129629629629,1.5887899164808914,3.6702447411138563,1.5473103955155239,3.430568668764317,0.0,0.0
frozen_factorized_head,4,3,0.0,0.0,2114.3333333333335,1923.0,4037.3333333333335,7.666666666666667,6.0,6.0,3.5582542083381363,3.5143536252823346,0.9876547581841232,0.5252408238183391,,0.0,0.0,0.0,31.666666666666668,12.333333333333334,0.1522633744855967,0.8477366255144032,15.333333333333334,16.333333333333332,35463.666666666664,1923.0,0.8402777777777777,3.615787042013835,3.654181416402571,3.571987625968177,3.609547549992567,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.05265848606747265,0.00019804728993525107,0.0038331633636840114,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.466666666666,140.2,0.7875,0.04342741600703448,0.08845207057311195,0.00020287605002522469,0.00033611241378821426,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.07294698850212929,0.00019699067019650506,0.004212077782090946,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.555555555555,283.0,0.7395833333333334,0.04239237547153607,0.16759632774919678,0.00020985351875424385,0.00025340792490169406,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.04713865301649397,0.00031001402142768103,0.0065197284710571965,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15916.333333333334,427.0,0.75,0.0458348750253208,0.05248887562775053,0.0002752079744823277,0.00038320895400829614,0.0,0.0
