policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,2,15,1.0,1.0,709.6,140.2,849.8,2.2,1.4,2.4,1.5662750193344739,1.518627983215265,0.9620287461647297,0.834801276924174,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4484.533333333334,140.2,0.7875,1.093640041013714,3.116574408102312,0.9925012080348097,3.0725408546102666,0.0,0.0
conductor_sft,3,18,1.0,1.0,816.0555555555555,283.0,1099.0555555555557,3.1666666666666665,1.6666666666666667,2.6666666666666665,1.4347596296768945,1.3901054862007085,0.9672768009314842,0.7394932533844172,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9687.5,283.0,0.7395833333333334,1.596273270988604,1.7296658374048994,1.5468474994704593,1.6864545509888549,0.0,0.0
conductor_sft,4,3,1.0,1.0,962.3333333333334,427.0,1389.3333333333333,4.0,2.0,3.0,1.6204707503396396,1.5786696252956365,0.9742015541702492,0.6926536353288509,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15930.0,427.0,0.75,1.6130741250235587,1.641801638121251,1.5713350419537164,1.5999400038737803,0.0,0.0
frozen_selected_head,2,15,1.0,1.0,709.6,140.2,849.8,2.2,1.4,2.4,1.2562732777985124,1.2117955834798826,0.9619753686124708,0.834801276924174,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4484.6,140.2,0.7875,1.0071362500311807,1.6370695667923427,0.9502825839444995,1.5954460427048616,0.0,0.0
frozen_selected_head,3,18,1.0,1.0,816.0555555555555,283.0,1099.0555555555557,3.1666666666666665,1.6666666666666667,2.6666666666666665,1.380522963054116,1.3364788310977422,0.9668480133125149,0.7394932533844172,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9688.277777777777,283.0,0.7395833333333334,1.5645177919941489,1.6123695213871543,1.5231114579946734,1.550697434876929,0.0,0.0
frozen_selected_head,4,3,1.0,1.0,962.3333333333334,427.0,1389.3333333333333,4.0,2.0,3.0,1.600379208335653,1.5588439019823757,0.9740460079263427,0.6926536353288509,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15932.666666666666,427.0,0.75,1.6028712500119582,1.6036831624864134,1.561522748961579,1.5623118618212175,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.06442738599531973,0.00015733894348765414,0.0034784260812005057,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.0,140.2,0.7875,0.04003233305411413,0.15768779977806807,0.00011566706234589219,0.0002866001217626032,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.04035205100727682,0.00016927567776292562,0.004190593885388002,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.277777777777,283.0,0.7395833333333334,0.040246333519462496,0.04091524821706116,0.00018858350813388824,0.00020183052693028002,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.05570616666227579,0.00024849968031048775,0.004983112359597438,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15915.0,427.0,0.75,0.04128758399747312,0.08045059530413709,0.00024750002194195986,0.00025245005963370204,0.0,0.0
