policy,family,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,1.3166843335105416,1.2750783889690258,0.9666603252162557,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12090.833333333334,330.0,0.6875,1.311948521004524,1.6370137192716356,1.269841250468744,1.5951725102204364,0.0,0.0
conductor_sft,parallel_evidence_then_combine,6,1.0,1.0,958.5,291.5,1250.0,3.5,2.0,3.0,1.7113736250030342,1.6694651735015213,0.9752442115849514,0.7706616845917832,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9480.333333333334,291.5,0.78125,1.6143848540086765,2.062948239268735,1.5726612495200243,2.0192850320017897,0.0,0.0
conductor_sft,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,1.3166190763392176,1.2750615626670576,0.9667471701693445,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6774.833333333333,186.5,0.78125,1.3176907500019297,1.637416312500136,1.2765379165357444,1.594781521736877,0.0,0.0
conductor_sft,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,1.298509326336595,1.2415045831585303,0.9522314333791903,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5478.5,170.5,0.78125,1.3259468539908994,1.5975008545210585,1.2383017294923775,1.555763541473425,0.0,0.0
conductor_sft,retrieve_then_calculate,6,1.0,1.0,540.0,169.0,709.0,2.5,1.0,2.0,1.6799106250012603,1.6378836319975865,0.9628461434376906,0.76717096434747,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5380.666666666667,169.0,0.6875,0.9637314795108978,4.173634666483849,0.9220713959948625,4.129769948282046,0.0,0.0
conductor_sft,tool_failure_then_recover,6,1.0,1.0,937.0,265.5,1202.5,2.5,2.0,3.0,1.7071048263460398,1.6572278889943846,0.9702737615039689,0.7841795138508588,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,9033.666666666666,265.5,0.84375,1.6179367084987462,2.0655185622599674,1.5531058954948094,2.0218570107535925,0.0,0.0
frozen_selected_head,distractor_evidence_then_verify,6,1.0,1.0,770.0,330.0,1100.0,3.5,1.5,2.5,1.303123381997769,1.261585145664867,0.9663739246277517,0.7026177418672271,,0.0,0.0,0.0,11.5,11.5,0.1419753086419753,0.8580246913580246,7.0,4.5,12092.666666666666,330.0,0.6875,1.3050463125109673,1.603547843740671,1.2631235204753466,1.5621803430112777,0.0,0.0
frozen_selected_head,parallel_evidence_then_combine,6,1.0,1.0,958.5,291.5,1250.0,3.5,2.0,3.0,1.60308551400279,1.5541128331775933,0.969540292091258,0.7706616845917832,,0.0,0.0,0.0,10.5,10.5,0.12962962962962962,0.8703703703703706,7.0,3.5,9480.333333333334,291.5,0.78125,1.5917131664755289,1.6364125627587782,1.54528070797096,1.5860572822857648,0.0,0.0
frozen_selected_head,research_then_verify,6,1.0,1.0,764.1666666666666,186.5,950.6666666666666,2.5,1.5,2.5,1.2916342359870516,1.2504440073195535,0.9663622877029768,0.8105618325432581,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,6775.0,186.5,0.78125,1.288903582986677,1.602993219232303,1.2480033339525107,1.5605121777043678,0.0,0.0
frozen_selected_head,retrieve_code_then_verify,6,1.0,1.0,733.6666666666666,170.5,904.1666666666666,2.5,1.5,2.5,1.26109298633916,1.2116533751638296,0.9573053337520244,0.8166180329275147,,0.0,0.0,0.0,7.0,7.0,0.08641975308641975,0.9135802469135802,5.0,2.0,5479.5,170.5,0.78125,1.2756951875053346,1.558017167248181,1.2089527710049879,1.5170661882148124,0.0,0.0
