policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,36,0.25,0.25,0.0,2210.0,2210.0,12.0,2.0,2.0,0.046571946689962514,8.884511609923923e-05,0.0019606432137804835,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567901,24.0,28.0,45169.22222222222,2210.0,0.25,0.043241603969363496,0.05861645824916195,8.795849862508476e-05,9.563550702296197e-05,0.0,0.0
iterative_all_agent_sequential,36,0.75,0.75,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.04619194910790409,9.125680177627753e-05,0.0020189196970852754,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148145,0.18518518518518523,24.0,62.0,106634.75,4047.1666666666665,0.25,0.04373641649726778,0.0594256880285684,8.766597602516413e-05,0.00012166624946985394,0.0,0.0
public_state_rules,36,1.0,1.0,0.0,235.5,235.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.04366580802080636,0.00013674997414151827,0.0031423344692918316,0.0,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8028.166666666667,235.5,0.7604166666666666,0.040276562998769805,0.07093111499852967,0.0001280415162909776,0.00019849924137815833,0.0,0.0
random_top_k,36,0.19444444444444445,0.19444444444444445,0.0,1472.6944444444443,1472.6944444444443,8.0,3.0,4.0,0.04509656138866881,0.00019484960972072763,0.004456827997921394,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,30240.166666666668,1472.6944444444443,0.6666666666666669,0.04149329147185199,0.07669172951136716,0.00019112502923235297,0.00022309372434392571,0.0,0.0
small_mlp_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.05994061455647978,0.017241425991718035,0.28197583217601074,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8038.833333333333,235.5,0.7604166666666666,0.0582456250267569,0.08049542747903615,0.01809135399525985,0.031009687794721685,0.0,0.0
sparse_linear_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.06035632288775458,0.017392836682524324,0.28241832764885344,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8038.75,235.5,0.7604166666666666,0.05868504149839282,0.0770936142798746,0.018099187494954094,0.0312905422761105,0.0,0.0
