policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,2,15,0.6,0.6,0.0,2212.2,2212.2,12.0,2.0,2.0,0.047376999926442905,9.018360481907925e-05,0.001978548776806937,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679026,24.0,28.0,45344.0,2212.2,0.25,0.042957958998158574,0.06297563309199172,8.812500163912773e-05,0.00010281722643412648,0.0,0.0
all_agent_parallel,3,18,0.0,0.0,0.0,2210.0,2210.0,12.0,2.0,2.0,0.04647152777437845,8.859272606463896e-05,0.0019493096045119288,0.0,,0.0,0.0,0.0,52.0,44.0,0.54320987654321,0.45679012345679015,24.0,28.0,45185.833333333336,2210.0,0.25,0.04341118747834116,0.055396374946576496,8.858350338414311e-05,9.340615069959312e-05,0.0,0.0
all_agent_parallel,4,3,0.0,0.0,0.0,2199.0,2199.0,12.0,2.0,2.0,0.04314919400106495,8.366701270764072e-05,0.0019391170542595378,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679015,24.0,28.0,44195.666666666664,2199.0,0.25,0.042873958009295166,0.04376304549514316,8.354202145710588e-05,8.440420497208833e-05,0.0,0.0
iterative_all_agent_sequential,2,15,1.0,1.0,0.0,4063.2,4063.2,12.0,2.0,2.0,0.04380946665769443,9.12080518901348e-05,0.0020805450424803058,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518517,24.0,62.0,110257.86666666667,4063.2,0.25,0.043652874999679625,0.045165429433109236,8.741597412154078e-05,0.00011225456255488096,0.0,0.0
iterative_all_agent_sequential,3,18,0.6666666666666666,0.6666666666666666,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.048128407442062676,9.06827853112999e-05,0.001959245960441108,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,106462.16666666667,4047.1666666666665,0.25,0.043915624992223457,0.08000713747751433,8.841647650115192e-05,0.00010817489237524566,0.0,0.0
iterative_all_agent_sequential,4,3,0.0,0.0,0.0,3967.0,3967.0,12.0,2.0,2.0,0.046485611354000866,9.494464999685685e-05,0.002068835389975129,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,89554.66666666667,3967.0,0.25,0.04372937500011176,0.05199943812331185,8.679198799654841e-05,0.00011810389696620405,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.040221716789528725,0.00010170013022919496,0.0025241109465689244,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.066666666667,140.2,0.7875,0.03993720898870379,0.04169455008814111,9.608297841623425e-05,0.00014184585306793452,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.04542012054783603,0.00015605539536207088,0.003491738196496103,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.222222222223,283.0,0.7395833333333334,0.040354896016651765,0.07739619013154879,0.00014416655176319182,0.0002322571584954851,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.05036038901501646,0.0001961666663798193,0.0041370297196807295,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15914.333333333334,427.0,0.75,0.04141495801741257,0.06623354610637762,0.00019474897999316454,0.00020824992097914218,0.0,0.0
random_top_k,2,15,0.4,0.4,0.0,1476.7333333333333,1476.7333333333333,8.0,3.0,4.0,0.04522425012740617,0.00019979986051718395,0.004550322501132052,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567902,0.5432098765432098,16.0,21.0,31415.866666666665,1476.7333333333333,0.6666666666666666,0.04190720897167921,0.05956025879713703,0.00019516603788360953,0.00022855002898722885,0.0,0.0
