task_id,policy,policy_label,data_sha256,specialist_sha256,experiment_sha256,checkpoint_sha256,config_sha256,cost_comparison_valid,token_billing_status,category,split,generalization,task_success,grader_score,controller_tokens,downstream_tokens,total_tokens,agent_calls,rounds,routing_calls,wall_clock_seconds,controller_seconds,controller_overhead_fraction,controller_token_fraction,controller_cost_usd,downstream_cost_usd,cost_usd,controller_cost_fraction,communication_edges,unique_communication_edges,physical_controller_agent_messages,logical_inter_agent_edges,communication_density,communication_sparsity,communication_message_bytes,communication_estimated_tokens,activation_sparsity
36d78af98d1b12b3,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,True,1.0,0,104,104,2,1,2,0.009413791995029896,3.15000070258975e-05,0.0033461549864845365,0.0,0.0,0.0,0.0,,5,5,4,1,0.06172839506172839,0.9382716049382716,1133,104,0.75
9d19d9e8716e934a,rule_based,rule_based,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,True,1.0,0,92,92,2,1,2,0.00894933397648856,3.000005381181836e-05,0.003352210777990146,0.0,0.0,0.0,0.0,,5,5,4,1,0.06172839506172839,0.9382716049382716,1000,92,0.75
48938588903be5f0,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,math,eval,seen_family,True,1.0,0,688,688,6,3,3,0.010647832998074591,0.00011274899588897824,0.01058891475001216,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,7710,688,0.75
5e269f66a46c0c02,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,retrieval,eval,seen_family,True,1.0,0,644,644,6,3,3,0.010108666960150003,8.075102232396603e-05,0.007988295849719808,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,7190,644,0.75
6f543ee6af6b8920,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,685,685,6,3,3,0.010264292010106146,7.683399599045515e-05,0.007485562171731373,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,7372,685,0.75
54dc4983ab578f2c,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,code,eval,seen_family,True,1.0,0,745,745,6,3,3,0.009970666957087815,7.866695523262024e-05,0.007889838821333664,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,8346,745,0.75
36d78af98d1b12b3,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_retrieval_math,eval,unseen_composition,False,0.0,0,793,793,6,3,3,0.009872665978036821,7.350003579631448e-05,0.0074448012279384294,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,8765,793,0.75
9d19d9e8716e934a,random_top_k,random_top_k,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,False,unknown_or_proxy_tokens,composed_math_string,eval,unseen_composition,False,0.0,0,626,626,6,3,3,0.009784375026356429,7.116602500900626e-05,0.007273435944278961,0.0,0.0,0.0,0.0,,24,24,12,12,0.2962962962962963,0.7037037037037037,6850,626,0.75
48938588903be5f0,static_supervisor,static_supervisor,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,True,actual_backend_tokens,math,eval,seen_family,False,0.0,267,0,267,0,0,1,3.05845287500415,2.9971865830011666,0.9799682079447112,1.0,0.0,0,0.0,,0,0,0,0,0.0,1.0,0,0,
5e269f66a46c0c02,static_supervisor,static_supervisor,1835dd8e8f1caef358e0301561a689c91804f628c9e51d3e6466b1bc5386d63d,dd18ae8d19f96a7804df35c4965c99bbf3ce758ddc835c8c55dcc8bfdb642c18,c5fad8271ca0640dbcc389c914a88a2743305d0c6f1d52cf73d1739ac65d3d1f,,8dbe79dc00b621c97e1b079949706a0def4d99068fd6c5b5a837689194181a7c,True,actual_backend_tokens,retrieval,eval,seen_family,False,0.0,294,0,294,0,0,1,2.5136550000170246,2.503943415998947,0.996136468999122,1.0,0.0,0,0.0,,0,0,0,0,0.0,1.0,0,0,
