policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent,6,0.6666666666666666,0.6666666666666666,0.0,286.3333333333333,286.3333333333333,8.0,1.0,2.0,0.01340930581985352,6.34306634310633e-05,0.005786044644747788,0.0,,0.0,0.0,0.0,16.0,16.0,0.19753086419753085,0.8024691358024691,16.0,0.0,2902.6666666666665,286.3333333333333,0.0,0.009656124981120229,0.026613083988195285,6.162500358186662e-05,7.508350245188922e-05,0.0,0.0
base_moe,6,0.5,0.5,344.8333333333333,344.3333333333333,689.1666666666666,3.6666666666666665,3.0,3.0,0.8686765626771376,0.8578020556597039,0.9874963933826971,0.5056347117642335,,0.0,0.0,0.0,9.666666666666666,5.333333333333333,0.06584362139917695,0.934156378600823,7.333333333333333,2.3333333333333335,4080.1666666666665,344.3333333333333,0.8472222222222222,0.8744451880047563,0.8895816459989874,0.8640586455003358,0.8763920316996519,0.0,0.0
conductor_preference,6,0.3333333333333333,0.3333333333333333,216.83333333333334,36.333333333333336,253.16666666666666,1.0,1.0,2.0,0.5500139443320222,0.5404137430111101,0.9825243016598874,0.8570198556158383,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,361.5,36.333333333333336,0.875,0.5460121039941441,0.5725987604964757,0.536318416474387,0.5631799270340707,0.0,0.0
conductor_sft,6,0.3333333333333333,0.3333333333333333,216.83333333333334,36.333333333333336,253.16666666666666,1.0,1.0,2.0,0.5517593888410678,0.5421187573325975,0.9824935477409036,0.8570198556158383,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,361.5,36.333333333333336,0.875,0.5546420830360148,0.570914083509706,0.5450863129808567,0.5614926772395847,0.0,0.0
random_top_k,6,0.6666666666666666,0.6666666666666666,0.0,696.8333333333334,696.8333333333334,6.0,3.0,3.0,0.0101080833216353,8.227783837355673e-05,0.008111808127502399,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7705.5,696.8333333333334,0.75,0.010039666958618909,0.01055194775108248,7.77504756115377e-05,0.00010474950249772519,0.0,0.0
rule_based,6,1.0,1.0,0.0,53.666666666666664,53.666666666666664,1.3333333333333333,1.0,2.0,0.009371618158183992,3.1819508876651525e-05,0.003389282704031993,0.0,,0.0,0.0,0.0,3.0,3.0,0.037037037037037035,0.9629629629629629,2.6666666666666665,0.3333333333333333,575.1666666666666,53.666666666666664,0.8333333333333334,0.009393666492542252,0.009734479259350337,3.075003041885793e-05,3.7146193790249527e-05,0.0,0.0
static_supervisor,6,0.0,0.0,278.0,0.0,278.0,0.0,0.0,1.0,2.63574353485213,2.6174771873338614,0.9934992845081694,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.5785326460318174,2.9581391040119343,2.568798416003119,2.9098471559991594,0.0,0.0
