policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
conductor_sft,code,eval,seen_family,16,1.0,1.0,208.25,32.0,240.25,1.0,1.0,2.0,3.458521374996053,3.438207210983819,0.9902884841393811,0.8667500468337725,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,328.625,32.0,0.875,1.5983847079914995,10.222641239510267,1.5835572085052263,10.200515884978813,0.0,0.0
conductor_sft,composed_math_string,eval,unseen_composition,8,0.0,0.0,364.625,90.75,455.375,1.75,1.75,2.75,4.290928083377366,4.258132234113873,0.9916710370410002,0.8084158927243486,,0.0,0.0,0.0,4.25,4.25,0.05246913580246913,0.9475308641975309,3.5,0.75,974.375,90.75,0.875,4.946104375005234,6.101525387589936,4.917852562502958,6.044223097129724,0.0,0.0
conductor_sft,composed_retrieval_math,eval,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,2.9204070468622376,2.8952967288860236,0.9900432882230377,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,2.384066458005691,5.054282010620227,2.3671185625134967,5.021384820091771,0.0,0.0
conductor_sft,math,eval,seen_family,8,0.0,0.0,331.25,78.5,409.75,1.75,1.75,2.75,3.1329880990015226,3.107000021103886,0.9904163248416035,0.8168310234541578,,0.0,0.0,0.0,4.25,4.25,0.05246913580246913,0.9475308641975309,3.5,0.75,878.5,78.5,0.875,2.3866378754901234,6.138180052291136,2.361801833467325,6.100918900390388,0.0,0.0
conductor_sft,retrieval,eval,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,5.072089463763405,5.04097030711273,0.9918155972069271,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,5.388593479525298,10.081456943653755,5.330391666473588,10.04811534162436,0.0,0.0
