policy,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,36,0.25,0.25,0.0,2210.0,2210.0,12.0,2.0,2.0,0.04548614584038862,8.613417028552956e-05,0.0019366063292840623,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432097,0.4567901234567901,24.0,28.0,45169.77777777778,2210.0,0.25,0.04272699999273755,0.05728470777103212,8.562448783777654e-05,9.264526306651533e-05,0.0,0.0
iterative_all_agent_sequential,36,0.75,0.75,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.045963516164596915,9.115155585782809e-05,0.0020092150983187992,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148145,0.18518518518518523,24.0,62.0,106633.33333333333,4047.1666666666665,0.25,0.043468062474858016,0.05574876049649902,8.714554132893682e-05,0.00010896843741647899,0.0,0.0
public_state_rules,36,1.0,1.0,0.0,235.5,235.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.042113319498538554,0.00011807171621411625,0.0028357123817489395,0.0,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8028.277777777777,235.5,0.7604166666666666,0.03999054152518511,0.0504007082345197,0.00012299948139116168,0.00017013498290907592,0.0,0.0
random_top_k,36,0.1388888888888889,0.1388888888888889,0.0,1486.8055555555557,1486.8055555555557,8.0,3.0,4.0,0.04480359721896497,0.00020088308924136477,0.004568398765334835,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432097,16.0,21.0,29940.666666666668,1486.8055555555557,0.6666666666666669,0.04141189600341022,0.07530388548912015,0.0001926870027091354,0.00024783350818324834,0.0,0.0
small_mlp_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.059941394574707374,0.017313953836694256,0.28164951786455544,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8039.027777777777,235.5,0.7604166666666666,0.058256687509128824,0.08519658300792798,0.018051834020297974,0.03109758322534617,0.0,0.0
sparse_linear_router,36,1.0,1.0,2463.0,235.5,2698.5,2.8333333333333335,1.5833333333333333,2.5833333333333335,0.06193507531133946,0.017642039310885593,0.281117337160456,0.9128697816260622,,0.0,0.0,0.0,8.333333333333334,8.333333333333334,0.10288065843621398,0.8971193415637858,5.666666666666667,2.6666666666666665,8039.166666666667,235.5,0.7604166666666666,0.0615376245114021,0.07622564601479098,0.01867466708063148,0.031160968748736195,0.0,0.0
