policy,dependency_stages,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
all_agent_parallel,2,15,0.6,0.6,0.0,2212.2,2212.2,12.0,2.0,2.0,0.04649326947595303,8.638308305914203e-05,0.0019123989887870414,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679026,24.0,28.0,45346.13333333333,2212.2,0.25,0.04248275002464652,0.060968303726986015,8.55830148793757e-05,9.382861317135393e-05,0.0,0.0
all_agent_parallel,3,18,0.0,0.0,0.0,2210.0,2210.0,12.0,2.0,2.0,0.043000916672301374,8.600010510741008e-05,0.002000301789179988,0.0,,0.0,0.0,0.0,52.0,44.0,0.54320987654321,0.45679012345679015,24.0,28.0,45185.833333333336,2210.0,0.25,0.042874062492046505,0.045314889334258625,8.579148561693728e-05,9.114287968259305e-05,0.0,0.0
all_agent_parallel,4,3,0.0,0.0,0.0,2199.0,2199.0,12.0,2.0,2.0,0.055361902671090014,8.569399748618405e-05,0.0016754702723936127,0.0,,0.0,0.0,0.0,52.0,44.0,0.5432098765432098,0.45679012345679015,24.0,28.0,44191.666666666664,2199.0,0.25,0.045431750011630356,0.07496071219211443,8.370802970603108e-05,8.99701495654881e-05,0.0,0.0
iterative_all_agent_sequential,2,15,1.0,1.0,0.0,4063.2,4063.2,12.0,2.0,2.0,0.04641714160097763,9.216938633471727e-05,0.0020238034375703938,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518517,24.0,62.0,110257.06666666667,4063.2,0.25,0.04382925003301352,0.0569028748082928,8.895795326679945e-05,0.00010746620246209204,0.0,0.0
iterative_all_agent_sequential,3,18,0.6666666666666666,0.6666666666666666,0.0,4047.1666666666665,4047.1666666666665,12.0,2.0,2.0,0.045809418997830816,9.132167583124505e-05,0.002015538800192553,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,106457.33333333333,4047.1666666666665,0.25,0.04337029150337912,0.05231443576049055,8.65620095282793e-05,0.0001154428027803078,0.0,0.0
iterative_all_agent_sequential,4,3,0.0,0.0,0.0,3967.0,3967.0,12.0,2.0,2.0,0.044619971983289965,8.504168363288045e-05,0.0018983311908183015,0.0,,0.0,0.0,0.0,86.0,66.0,0.8148148148148148,0.18518518518518523,24.0,62.0,89570.66666666667,3967.0,0.25,0.04353049997007474,0.04732006248668767,7.7791977673769e-05,9.867920889519154e-05,0.0,0.0
public_state_rules,2,15,1.0,1.0,0.0,140.2,140.2,2.2,1.4,2.4,0.04228466939724361,9.769139578565955e-05,0.0023324176564996813,0.0,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4478.133333333333,140.2,0.7875,0.03966920904349536,0.05242436240077947,8.774898014962673e-05,0.00013226670562289654,0.0,0.0
public_state_rules,3,18,1.0,1.0,0.0,283.0,283.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.04223994683060381,0.00012515988459603654,0.0029976194442917978,0.0,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9672.444444444445,283.0,0.7395833333333334,0.04013831299380399,0.04713740813022009,0.00013897946337237954,0.0001543045393191278,0.0,0.0
public_state_rules,4,3,1.0,1.0,0.0,427.0,427.0,4.0,2.0,3.0,0.04049680601262177,0.000177444308064878,0.0043807436327380775,0.0,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15914.0,427.0,0.75,0.04065370903117582,0.04070984651334584,0.00017566699534654617,0.00018710415461100637,0.0,0.0
random_top_k,2,15,0.26666666666666666,0.26666666666666666,0.0,1518.6666666666667,1518.6666666666667,8.0,3.0,4.0,0.046939449994048726,0.00020884481491521001,0.004547081308318383,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567902,0.5432098765432098,16.0,21.0,30038.466666666667,1518.6666666666667,0.6666666666666666,0.041560999990906566,0.07714752928586675,0.00019237498054280877,0.00028359562274999907,0.0,0.0
random_top_k,3,18,0.05555555555555555,0.05555555555555555,0.0,1450.888888888889,1450.888888888889,8.0,3.0,4.0,0.04360857872072504,0.0001952011079993099,0.004559924107818131,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.54320987654321,16.0,21.0,29819.833333333332,1450.888888888889,0.6666666666666666,0.041361708514159545,0.049051899905316484,0.00019468701793812215,0.00022005547070875762,0.0,0.0
random_top_k,4,3,0.0,0.0,0.0,1543.0,1543.0,8.0,3.0,4.0,0.041294444332985826,0.00019516634832446775,0.00472583399551733,0.0,,0.0,0.0,0.0,37.0,37.0,0.4567901234567901,0.5432098765432098,16.0,21.0,30176.666666666668,1543.0,0.6666666666666666,0.041379583009984344,0.041382995806634425,0.00019150006119161844,0.00020541218691505492,0.0,0.0
small_mlp_router,2,15,1.0,1.0,1859.4,140.2,1999.6,2.2,1.4,2.4,0.05261500819663827,0.012661886335505794,0.23448357972847342,0.9267581040422938,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4483.733333333334,140.2,0.7875,0.05062095797620714,0.05865005809464492,0.010917959036305547,0.018658337299712002,0.0,0.0
small_mlp_router,3,18,1.0,1.0,2681.0,283.0,2964.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.0612602707664741,0.0187167246088696,0.30528219900539416,0.9022454910429669,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9686.555555555555,283.0,0.7395833333333334,0.061792520456947386,0.07169955619319804,0.01982506294734776,0.024171246343757953,0.0,0.0
small_mlp_router,4,3,1.0,1.0,4173.0,427.0,4600.0,4.0,2.0,3.0,0.08866006931445251,0.0321576667095845,0.37568312169993323,0.9071739130434783,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15930.333333333334,427.0,0.75,0.08271958300611004,0.109196383273229,0.03159170807339251,0.03371274620876648,0.0,0.0
sparse_linear_router,2,15,1.0,1.0,1859.4,140.2,1999.6,2.2,1.4,2.4,0.05847850847057998,0.013260677549988031,0.22682568108873538,0.9267581040422938,,0.0,0.0,0.0,5.6,5.6,0.06913580246913581,0.9308641975308644,4.4,1.2,4483.8,140.2,0.7875,0.05828879203181714,0.0704172877129167,0.011324791994411498,0.020100883120903745,0.0,0.0
sparse_linear_router,3,18,1.0,1.0,2681.0,283.0,2964.0,3.1666666666666665,1.6666666666666667,2.6666666666666665,0.06300331717163014,0.018999539386843227,0.301326702536008,0.9022454910429669,,0.0,0.0,0.0,9.666666666666666,9.666666666666666,0.11934156378600821,0.8806584362139918,6.333333333333333,3.3333333333333335,9686.944444444445,283.0,0.7395833333333334,0.06237754150060937,0.07659657321928531,0.020525500469375402,0.024051756173139434,0.0,0.0
sparse_linear_router,4,3,1.0,1.0,4173.0,427.0,4600.0,4.0,2.0,3.0,0.07280845835339278,0.031403847659627594,0.4313194252657479,0.9071739130434783,,0.0,0.0,0.0,14.0,14.0,0.1728395061728395,0.8271604938271605,8.0,6.0,15929.333333333334,427.0,0.75,0.0730337499990128,0.07330307500669733,0.03142237599240616,0.031686038186307997,0.0,0.0
